DATATIME,WINDSPEED,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,TARGET
2/1/2021 00:00:00,7.5,5,4.2,59,1023,3896.0
2/1/2021 00:15:00,7.5,5,4.2,59,1023,4715.0
2/1/2021 00:30:00,7.5,5,4.2,58,1023,5929.0
2/1/2021 00:45:00,7.5,4,4.1,57,1022,5668.0
2/1/2021 01:00:00,7.5,4,4.1,56,1022,5125.0
2/1/2021 01:15:00,7.4,4,4.1,56,1022,5432.0
2/1/2021 01:30:00,7.3,4,4.0,55,1022,4158.0
2/1/2021 01:45:00,7.2,4,3.9,55,1022,3533.0
2/1/2021 02:00:00,7.1,4,3.8,54,1022,3009.0
2/1/2021 02:15:00,6.9,5,3.8,54,1022,3439.0
2/1/2021 02:30:00,6.8,7,3.7,54,1022,3249.0
2/1/2021 02:45:00,6.8,8,3.6,54,1022,2814.0
2/1/2021 03:00:00,6.7,9,3.5,54,1022,2018.0
2/1/2021 03:15:00,6.6,11,3.5,54,1022,2346.0
2/1/2021 03:30:00,6.6,12,3.5,53,1022,3570.0
2/1/2021 03:45:00,6.6,13,3.4,53,1022,4905.0
2/1/2021 04:00:00,6.6,14,3.4,52,1022,5643.0
2/1/2021 04:15:00,6.6,16,3.4,52,1022,10574.0
2/1/2021 04:30:00,6.8,16,3.4,51,1022,16612.0
2/1/2021 04:45:00,6.8,17,3.4,51,1022,19927.0
2/1/2021 05:00:00,6.9,18,3.4,50,1022,21359.0
2/1/2021 05:15:00,7.1,18,3.4,50,1022,24302.0
2/1/2021 05:30:00,7.2,19,3.5,49,1022,20828.0
2/1/2021 05:45:00,7.3,19,3.6,48,1022,24491.0
2/1/2021 06:00:00,7.4,20,3.7,47,1022,22605.0
2/1/2021 06:15:00,7.5,20,3.7,47,1022,23543.0
2/1/2021 06:30:00,7.6,21,3.8,46,1022,25026.0
2/1/2021 06:45:00,7.7,21,3.9,46,1022,21234.0
2/1/2021 07:00:00,7.8,21,4.0,45,1022,22974.0
2/1/2021 07:15:00,7.9,20,4.3,44,1022,25679.0
2/1/2021 07:30:00,7.9,19,4.8,43,1022,20422.0
2/1/2021 07:45:00,8.0,18,5.4,41,1022,21501.0
2/1/2021 08:00:00,8.1,17,5.9,40,1022,23883.0
2/1/2021 08:15:00,8.0,17,6.5,39,1022,23239.0
2/1/2021 08:30:00,8.1,17,7.0,38,1022,24824.0
2/1/2021 08:45:00,8.0,18,7.6,38,1023,22503.0
2/1/2021 09:00:00,8.0,18,8.1,37,1023,26801.0
2/1/2021 09:15:00,8.0,19,8.6,37,1023,32509.0
2/1/2021 09:30:00,8.0,20,9.0,36,1023,31168.0
2/1/2021 09:45:00,8.0,23,9.4,35,1023,32225.0
2/1/2021 10:00:00,8.0,24,9.8,34,1023,31855.0
2/1/2021 10:15:00,8.0,26,10.2,34,1023,28365.0
2/1/2021 10:30:00,8.0,28,10.5,33,1023,28777.0
2/1/2021 10:45:00,8.0,30,10.8,33,1022,29106.0
2/1/2021 11:00:00,8.0,32,11.1,32,1022,27621.0
2/1/2021 11:15:00,8.0,33,11.4,32,1022,26063.0
2/1/2021 11:30:00,8.1,34,11.6,33,1022,27349.0
2/1/2021 11:45:00,8.1,34,11.9,33,1021,29565.0
2/1/2021 12:00:00,8.2,35,12.1,34,1021,27660.0
2/1/2021 12:15:00,8.2,36,12.3,34,1021,23324.0
2/1/2021 12:30:00,8.2,37,12.5,34,1021,23749.0
2/1/2021 12:45:00,8.2,38,12.6,35,1020,23410.0
2/1/2021 13:00:00,8.2,39,12.8,35,1020,24054.0
2/1/2021 13:15:00,8.2,39,12.9,35,1020,25775.0
2/1/2021 13:30:00,8.3,40,12.9,36,1020,26869.0
2/1/2021 13:45:00,8.4,41,12.8,37,1020,27231.0
2/1/2021 14:00:00,8.4,42,12.8,38,1020,27446.0
2/1/2021 14:15:00,8.5,42,12.7,39,1020,31635.0
2/1/2021 14:30:00,8.6,42,12.5,40,1020,29526.0
2/1/2021 14:45:00,8.6,41,12.4,41,1019,27514.0
2/1/2021 15:00:00,8.7,41,12.2,42,1019,34108.0
