,Actual,RF,BP,MLP
4226,0.070000022649765,0.07222666446119531,0.05928021389766497,0.06266612818160894
8200,0.090000003576279,0.09604331097876012,0.07755137800721129,0.10738443851657514
13150,0.070000022649765,0.0745513452589512,0.05538689245146339,0.05882827562561349
15610,0.0,0.0,0.013026925364320319,0.015199745707295376
18896,0.090000003576279,0.08915366664528851,0.09074505900770818,0.06132360073166193
16757,0.0,0.0,0.005143996717934363,0.0015623488455677736
15348,0.0,0.0,0.0,0.0
5887,0.080000005662441,0.0927369855344289,0.06648446179116091,0.06735616592879928
20256,0.016933333128691,0.020563663113862242,0.006839872648195133,0.0
3942,0.050066653639078,0.05422231677919612,0.052700986753661916,0.111122837438355
20348,0.070000022649765,0.06908968410972093,0.08445779712561624,0.03866752933138112
24433,0.0,0.0,0.009269436965112121,0.002734565660691357
196,0.051999986171722,0.05561398636549705,0.071985873682952,0.05153176054741854
8546,0.010000000707805,0.015520000196993402,0.01966610234662397,0.062062855003688744
6756,0.089866667985916,0.09645397827029178,0.0798086532126519,0.04624955409592907
20274,0.059999972581863,0.059873639941215265,0.023937549178510598,0.05100085062965659
18426,0.0,0.0,0.0,0.008854653502816168
25225,0.090000003576279,0.08915200121700767,0.10071926307366713,0.09937233999594536
12644,0.0,0.0,0.0,0.0037793494710895437
24752,0.0,0.0,0.0,0.0
4156,0.080000005662441,0.0830376699566841,0.06370010343645421,0.08563129602180947
18635,0.040000002831221,0.04140699923038502,0.07193237953330384,0.0
24256,0.0,0.0,0.031845013194415295,0.036843102510251524
7944,0.090000003576279,0.09766630636528097,0.08770366288484727,0.09174416717996298
14976,0.0,0.0,0.004020571410425167,0.0
21860,0.0,0.0,0.006350465980387743,0.0030621514604355915
15541,0.0,0.0,0.0,0.0
16543,0.080000005662441,0.08130900464951983,0.08567972922641137,0.07540725317291169
230,0.0,0.0,0.039001689972350484,0.0
13522,0.0,0.0,0.004118296839545288,0.009259273223261422
21543,0.0,0.0,0.0015061941792520739,0.005180816430539303
8541,0.034199997782707,0.03979699708521381,0.035030302749132936,0.08082907826050917
18515,0.0,0.0,0.0,0.0
12169,0.0,0.0,0.0,0.0
3418,0.0,0.0,0.001668410432744738,0.010865537941436576
3686,0.0,0.0,0.002896245529066477,0.010294813730597985
501,0.02000000141561,0.018696665754541972,0.04852081578024864,0.009625056070694471
1915,0.070000022649765,0.07139835022389888,0.08281892091813053,0.08441277857686863
8198,0.080000005662441,0.08954365996023025,0.07971412015833951,0.09985394682642607
1457,0.0,0.0,0.004556291944657842,0.0
5503,0.0,0.0,0.008181134238415766,0.0
19116,0.049999989569187,0.05008165601640937,0.014861609043836321,0.030079484428510328
13955,0.070000022649765,0.0856556686758995,0.06056173092781064,0.08238625000506378
25089,0.0,0.0,0.02657257631186366,0.0
12767,0.01886666752398,0.021878661420196302,0.02422120912349862,0.0
10202,0.070000022649765,0.08203499153256405,0.03176136356406617,0.07472349441169074
5843,0.0,0.0,0.005980292086832206,0.0
6987,0.0,0.0,0.00428701432922779,0.0
16115,0.0,0.0,0.0,0.0017057043901264612
15786,0.0,0.0,0.013914599924456372,0.0012865572387243396
16042,0.048866655677557,0.05219532130286097,0.06544441095428982,0.05847125102284728
1103,0.0,0.0,0.01330425253271278,0.007134689254728099
3470,0.0,0.0,0.0,0.0016469718295381575
11941,0.090000003576279,0.09435598984360703,0.07863083549964595,0.09588422713671368
13741,0.040000002831221,0.041219000481069364,0.04642099063150501,0.05832427858294004
12044,0.0,0.0,0.0,0.034952235447752
24497,0.0,0.0,0.021543449927013125,0.0
19242,0.0,0.0,0.012575059460248561,0.019267908768001385
13655,0.070000022649765,0.07104467835277312,0.04797204255108284,0.07025794527868395
17872,0.0,0.0,0.005828365125959467,0.000446864081299958
10421,0.0,0.0,0.0,0.0
20455,0.0,0.0,0.024511152738196762,0.015441295346995287
13022,0.0,0.0,0.012006312221100768,0.0
19747,0.090066663920879,0.09576931810006509,0.0980951444022507,0.0912183878379475
16114,0.0,0.0,0.0,0.0
15336,0.0,0.0,0.0,0.0
8778,0.090000003576279,0.09550165355205538,0.06643251043534665,0.13013983977482318
24039,0.018399994820356,0.023442661892622597,0.031999139492351614,0.03347629160367788
5225,0.0,0.0,0.00558121156300545,0.0
18106,0.0,0.0,0.00021164708513260466,0.004870995039813086
397,0.050066653639078,0.05619565382599823,0.02967438021055263,0.058398585653305746
25048,0.0,0.0,0.0038809063679638434,0.0
21247,-0.0001333333348156,0.0,0.006530013089041498,0.0029141448724833707
3537,0.0,0.0,0.014152467427028637,0.0
22060,0.090000003576279,0.08959300108253963,0.07459466749902849,0.08024294672116244
10287,0.021266665309668,0.02312166124582279,0.04696450673539082,0.03057645504799472
14666,0.0,0.0,0.0,0.0
16128,0.0,0.0,0.0013137689756824167,0.0
6879,0.0,0.0,0.0,0.013278063179639366
1087,0.0,0.0,0.01975050893949787,0.017256285775041957
9144,0.010000000707805,0.01160600000061093,0.038929734484600964,0.0
16734,0.0,0.0,0.004655423309798901,0.0
21655,0.0,0.0,0.0,0.0
24232,0.0,0.0,0.017834118079828987,0.010065556261832531
6965,0.0,0.0,0.006208012054401524,0.016178405388882877
10669,0.0,0.0,0.0,0.004684833766118002
2740,0.099999979138374,0.10274330683052463,0.09891387270100177,0.10045826793666762
17968,0.055933311581612,0.05900530781596881,0.024084924006001318,0.0561715668819151
16872,0.090000003576279,0.09332899212837226,0.08550133962601164,0.10936125649686662
20276,0.059999972581863,0.059388975165784126,0.04255672075316547,0.06273023618746038
10836,0.080000005662441,0.08532700173556802,0.09362400968440682,0.08039005826341311
19929,0.0,0.0,0.0,0.0
6599,0.0,0.0,0.0,0.00038755710872478977
9197,0.0,0.0,0.007719267248753103,0.0
20379,0.0,0.0,0.014404974870685872,0.01761616072533595
4140,0.049999989569187,0.052814319469034615,0.04951296830065727,0.0499637841645621
20838,0.033099990338087,0.03611899521201861,0.02667974818836255,0.02576183186100195
8470,0.059999972581863,0.07277732964605088,0.04817340751439897,0.10212176265503053
4985,0.0,0.0005259999844323149,0.02079257068675916,0.0012190258122672382
5348,0.085400000214577,0.0959453173726798,0.07907713116567677,0.0552639297477166
7958,0.070000022649765,0.07532633632421491,0.062042294835841505,0.09139492059973747
13442,0.059999972581863,0.06495433062314976,0.05270066268352164,0.0501017006923869
11697,0.090000003576279,0.09314665846526621,0.09492254174150122,0.06590398523696578
8673,0.0,0.0,0.017600215938827157,0.0
423,0.090000003576279,0.09926697976887222,0.06911898545195322,0.10595705791888305
11879,0.0,0.0,0.0,0.0
1346,0.059999972581863,0.06384033665061001,0.07604284399032585,0.07097916887964345
15570,0.0,0.0,0.004410631031055268,0.0
5826,0.0,0.0,0.009108885767193764,0.0
10714,0.0,0.0,0.0,0.0
21609,0.0,0.0,0.012503614914116723,0.0017657622427633135
13287,0.0,0.0,0.011563192826781032,0.0
21713,0.059999972581863,0.05934630721807455,0.03311098192412981,0.04447257580038094
2579,0.0,0.0,0.0,0.0
2463,0.099999979138374,0.10234897486865469,0.10199118489744913,0.09463437227794763
17133,0.090000003576279,0.09304232537746461,0.06868961928777645,0.10247651811700548
22451,0.0,0.0,0.0,0.0
23488,0.09239998459816,0.0959433198720216,0.09267064486235405,0.10660725602596915
15551,0.0,0.0,0.0,0.0
16213,0.0,0.0,0.010063617757677001,0.016710980400882425
7090,0.032966662198305,0.03318532576784486,0.05080412655947014,0.042571179560338235
22857,0.040000002831221,0.040226335935294885,0.048553049491334266,0.049254932691709497
5304,0.070000022649765,0.07245134118944406,0.05256386144490738,0.05637339960923121
18089,0.0,0.0,0.02430461579475557,0.0
25602,0.0,0.0,0.006845795291474943,0.0
21643,0.0,0.0,0.0015875968258718953,0.0
21156,0.040000002831221,0.04379533004015686,0.0385101276756073,0.006993177289759733
15304,0.0,0.0,0.010646021372514636,0.004685582127910981
18869,0.099999979138374,0.09991131258507593,0.08128918548667757,0.09635047019872495
1610,0.090000003576279,0.09735331013798683,0.09634344830234493,0.0697499434747128
16476,0.0,0.0,0.002686119697388023,0.01662672376586677
4059,0.0,0.0,0.0,0.0
8696,0.0,0.0,4.5943675145931895e-05,0.006302870271503946
25523,0.080000005662441,0.08492433659732343,0.09234337681712618,0.07961368425671939
5384,0.049999989569187,0.05147965541109442,0.05998807614202867,0.0644890841743177
22964,0.015766667202115,0.012626000568270701,0.03464342491489919,0.011543816448907618
8034,0.0,0.0,0.0,0.014120009213039741
10113,0.0,0.0,0.0012174254449238142,0.0
20995,0.0,0.0,0.0010738240571044888,0.005329969686082625
16640,0.0,0.0,0.011872961537517102,0.026828923327503806
23622,0.0,0.0,0.0,0.0
312,0.0,0.0,0.008284901119948451,0.0
13325,0.0,0.0,0.010229689739467418,0.0
1456,0.0,0.0,0.0035806653862205384,0.0
15948,0.049999989569187,0.049482323490083156,0.05966691233325433,0.03954998817843375
23889,0.0,0.0,0.0,0.0
18917,0.059999972581863,0.05895165029913177,0.0741983724892033,0.03480564633000677
20830,0.010000000707805,0.010331667307764128,0.012699071625158542,0.0015779060652815757
12274,0.076266661286354,0.0792556682378053,0.08159596056883284,0.05512019423623865
21017,0.0,0.0,0.00558199878558302,0.0
10244,0.095199979841709,0.10029997602105208,0.09819932502887779,0.09456934174563741
8404,0.0,0.0,0.0,0.0
23219,0.080000005662441,0.08071967124938956,0.07873135721206265,0.07230616869411349
18274,0.080666668713093,0.08408933728933335,0.04761007823995139,0.09194928625183513
23517,0.070000022649765,0.06726467406377201,0.06931201855392782,0.05819608352142275
8248,0.082900002598763,0.09041832173864037,0.06707230664979741,0.12495284737719853
19721,0.090000003576279,0.08903000108897695,0.06971187192859746,0.09280406406365399
11177,0.0,0.0,0.0037381534705192565,0.04785448806960385
5749,0.0,0.0,0.0,0.019702381763510635
23408,0.0,0.0,0.010777983218529352,0.010077931064759793
2140,0.080000005662441,0.0834840028733014,0.0576721528018212,0.08007665102834188
19562,0.0,0.0,0.0,0.0
14164,0.0,0.0,0.004559469062378085,0.0
20918,0.084600001573563,0.08895666524767872,0.08105159133344036,0.025540920001595635
24680,0.045033328235149,0.04298466466367255,0.05688203924974494,0.047960945354887874
10483,0.059999972581863,0.06277765274047829,0.020460147654795702,0.060745274991292175
21478,0.089433327317238,0.09068332806229588,0.07075891551797847,0.042257764368869244
24530,0.0,0.0,0.02584047331627476,0.01956455701580978
7212,0.0,0.0,0.005847026031237379,0.0
8729,0.0,0.000440999989295962,0.0024520770950123283,0.014457736560013534
22252,0.0,0.0,0.0,0.0
23020,0.0,0.0,0.0,0.0
21048,0.0,0.0,0.0,0.0
512,0.0,5.0333331455479004e-05,0.027175111301839305,0.0
15293,0.0,0.0,0.006261707406972683,0.0
11773,0.0,0.0,0.0,0.0
10300,0.0,0.000367999990703541,0.019508550406645953,0.028290990171226882
11945,0.090000003576279,0.10246963828802087,0.08920596355293925,0.10504125549949878
15985,0.090000003576279,0.09844931535422767,0.10034037774140087,0.09601937466319782
2541,0.0,0.0,0.0,0.0
13445,0.059999972581863,0.061680315267294554,0.06262141865496712,0.08358694633870062
5332,0.090000003576279,0.10035630978643949,0.09149550452114624,0.07105683163763782
25341,0.0,0.0,0.0,0.0
25509,0.090000003576279,0.09683031812310215,0.09852421643325388,0.07918717061586061
25250,0.059999972581863,0.055398647654801465,0.06071981610960525,0.04582120532150874
11863,0.0,0.0,0.0,0.0
13049,0.0,0.000187666659476239,0.010784622367782604,0.0
2885,0.0,0.0,0.0074040227154058,0.0010827809705626357
6490,0.099999979138374,0.10675229333341141,0.10055634249895645,0.1201545820048388
25437,0.005466666072607,0.009034333759918764,0.007660915541726487,0.03428581156271843
25174,0.069966688752174,0.06747568088687118,0.04946578002697405,0.08749918898081027
17644,0.0,0.0,0.0017200144788925287,0.0
1805,0.0,0.0,0.0,0.0
12035,-0.0002666666405275,0.0,0.0017189947068252942,0.011911311094808086
21359,0.0,0.0,0.0,0.0
23768,0.073266662657261,0.0744550000131131,0.05777656328574626,0.11092409301934886
19485,0.070000022649765,0.06936068624258043,0.08103705412691481,0.06043044563598737
19762,0.080000005662441,0.08274366930127139,0.0949160735418309,0.06477424162523121
22726,0.0,0.0,0.0,0.0
5199,0.0,0.0,0.0011784952159895057,0.008471130780992764
25327,0.0,0.0,0.0,0.0
19617,0.0,0.0,0.00858258005478435,0.0
733,0.090000003576279,0.10028797805309324,0.10539914175533666,0.1133082989225262
323,0.0,0.0,0.004804670696778646,0.0
25182,0.080000005662441,0.07912667280063027,0.06878469746357069,0.07147221098625373
4344,0.0,0.0,0.0,0.0
2518,0.02000000141561,0.019223001142963558,0.020826200527802874,0.08118054160521065
2533,0.0,0.0,0.0,0.0
19851,0.0,0.0,0.0027643268232170892,0.0
7072,0.054633323103189,0.05228098716586821,0.0490104537372304,0.06850706732337425
11868,0.0,0.0,0.0008884173126866846,0.0
15765,0.01549999974668,0.017486332645639625,0.026630596686096297,0.03365561660168698
2767,0.090000003576279,0.08993966966867455,0.08481190244765918,0.1336660629880026
6404,0.0,0.0,0.007139700863946941,0.005812383432892643
21821,0.0,0.0,0.013193011852326963,0.0
22939,0.070000022649765,0.0699390207949173,0.0688038402568934,0.0572142748233983
17917,0.0,0.0,0.003647826163586443,0.0
15376,0.049999989569187,0.05750631045550091,0.061097988764710565,0.06104579254819015
22018,0.084600001573563,0.08260467141866686,0.06955373407704407,0.06728700991417597
18526,0.010000000707805,0.009959000684320797,0.001496339459498508,0.0010668796023782234
1448,0.0,0.0,0.005576140103525973,0.005364915877851428
16942,0.0,0.0,0.0,0.0
17855,0.0,0.0,0.0,0.009333681850060616
15671,0.070000022649765,0.06971535392105578,0.06934707016769331,0.09043441269120883
6687,0.0,0.0,0.004224502519653284,0.01776224978572699
24372,0.080000005662441,0.08375300368294117,0.08231620131550105,0.05887476344943149
17165,0.090000003576279,0.08954666681587703,0.09075599313652832,0.0727887489744114
24898,0.08053333312273,0.08813333623111254,0.07256509645525538,0.10628722982062605
959,0.02000000141561,0.022587331510370453,0.0062452362986774035,0.024842015488349245
21806,0.031066656112671,0.03071065425872823,0.03857979605447709,0.03135245225388367
8474,0.070000022649765,0.07366901241242885,0.05235846953467643,0.11783785326569468
19000,0.0,0.0,0.004187245650087823,0.0045048848097195004
22326,0.099999979138374,0.09892564766108976,0.08555255473671614,0.09826710358138108
2905,0.0,0.0,0.0,0.0
4413,0.013600000180304,0.012241333723068142,0.019329231064575902,0.014423568401449705
10505,0.090000003576279,0.09410065740346943,0.07614413869339837,0.0993483238662613
