,Actual,RF,BP,MLP
4226,0.070000022649765,0.07184733018279058,0.01945061880948709,0.10351014914412537
8200,0.090000003576279,0.09871630729486534,0.0659102685610187,0.10951425169764781
13150,0.070000022649765,0.07481034517288211,0.05107536871496832,0.05737797019488869
15610,0.0,0.0,0.0,0.013044154059554114
18896,0.090000003576279,0.08948766499757771,0.0742694083808817,0.08654623296009264
16757,0.0,0.0,0.0,0.03748894172612169
15348,0.0,0.0,0.00871501240326808,0.06047928499890201
5887,0.080000005662441,0.0944406497478481,0.0917918455747046,0.09255283025050307
20256,0.016933333128691,0.020130330072715835,0.023887619916024838,0.080449660300656
3942,0.050066653639078,0.05483331859111778,0.0014765248236310313,0.1392548329939794
20348,0.070000022649765,0.06874034404324797,0.024427416119192052,0.1348974591755878
24433,0.0,0.0,0.028405424032721366,0.0
196,0.051999986171722,0.05652732126414768,0.08394970147351247,0.06048799584606654
8546,0.010000000707805,0.015239333407953472,0.04236408605968231,0.0
6756,0.089866667985916,0.0981269749999044,0.0514880820495105,0.049924291201555365
20274,0.059999972581863,0.060111975260078665,0.07254672138494295,0.033905030343380965
18426,0.0,0.0,0.0,0.0
25225,0.090000003576279,0.08964866891503342,0.06793079680300321,0.04729387283276673
12644,0.0,0.0,0.0,0.0
24752,0.0,0.0,0.0238464536419514,0.0
4156,0.080000005662441,0.08331133536994458,0.09368520778464709,0.09165484775058949
18635,0.040000002831221,0.042126999050379005,0.028521999434051676,0.020137562275202775
24256,0.0,0.0,0.0,0.0
7944,0.090000003576279,0.09634297547861902,0.06299775129246224,0.0707673279881059
14976,0.0,0.0,0.030965750878815007,0.0
21860,0.0,0.0,0.0,0.0
15541,0.0,0.0,0.007989808973951823,0.013422575370165751
16543,0.080000005662441,0.08143933765590182,0.07496629099914923,0.08715408903081998
230,0.0,0.0,0.07027402526039209,0.023625178460421642
13522,0.0,0.0,0.007241520082778091,0.01919348825747655
21543,0.0,0.0,0.0,0.0
8541,0.034199997782707,0.039715664703399135,0.049553512656632964,0.017424802074100437
18515,0.0,0.0,0.00720843364324078,0.0
12169,0.0,0.0,0.005253042952815062,0.0407501643208604
3418,0.0,0.0,0.0,0.0
3686,0.0,0.0,0.0,0.0
501,0.02000000141561,0.01729466594755657,0.06739086185148904,0.03054112003092388
1915,0.070000022649765,0.07134068034589289,0.06843645134654028,0.013213414868675194
8198,0.080000005662441,0.08945632744757907,0.037005780717109554,0.055613536746913134
1457,0.0,0.0,0.01651564485905474,0.0
5503,0.0,0.0,0.019770839641310406,0.0046848045097921676
19116,0.049999989569187,0.0498569897189736,0.054320460642448026,0.0
13955,0.070000022649765,0.08423166975378989,0.08629939125998859,0.027845553194932343
25089,0.0,0.0,0.0,0.03652433977172706
12767,0.01886666752398,0.021690328475087905,0.03464282215115205,0.016232543970726127
10202,0.070000022649765,0.08174432413652535,0.050485584592531024,0.06531891596687464
5843,0.0,0.0,0.010904487279499386,0.0
6987,0.0,0.0,0.0,0.0585500816156935
16115,0.0,0.0,0.007025928921240571,0.0
15786,0.0,0.0,0.010725776626775013,0.0
16042,0.048866655677557,0.05192365523427719,0.05582434330048322,0.04113299605164797
1103,0.0,0.0,0.038852903318451065,0.0
3470,0.0,0.0,0.0,0.0
11941,0.090000003576279,0.09459898997098216,0.10478921727893084,0.06490453519576175
13741,0.040000002831221,0.041274667009711524,0.015976439290278005,0.03162965693267039
12044,0.0,0.0,0.0,0.0
24497,0.0,0.0,0.0,0.0
19242,0.0,0.0,0.0,0.0
13655,0.070000022649765,0.07128534354269503,0.08841362626465055,0.014931915120300343
17872,0.0,0.0,0.0,0.0
10421,0.0,0.0,0.0,0.0
20455,0.0,0.0,0.0,0.014928466578020577
13022,0.0,0.0,0.010747080037847273,0.019020168760341044
19747,0.090066663920879,0.09597098590806141,0.08864951880038016,0.12752089366756422
16114,0.0,0.0,0.00043836759048901386,0.0
15336,0.0,0.0,0.0,0.05900476577579214
8778,0.090000003576279,0.09583765375365819,0.07229637345934417,0.10329582694770675
24039,0.018399994820356,0.023279329314827835,0.047938471616144424,0.006346611173877886
5225,0.0,0.0,0.024178262854038263,0.014823448942196754
18106,0.0,0.0,0.0,0.0
397,0.050066653639078,0.056200987435877245,0.043046577331272845,0.08286823480445457
25048,0.0,0.0,0.005076037344902168,0.02403983217413516
21247,-0.0001333333348156,0.0,0.0,0.0
3537,0.0,0.0,0.00714148606242293,0.02760466286959548
22060,0.090000003576279,0.0899473351240159,0.07476846211096463,0.05187770844961809
10287,0.021266665309668,0.022411328721791392,0.029272492070754746,0.04044059940769515
14666,0.0,0.0,0.003449887905393162,0.0
16128,0.0,0.0,0.0,0.0
6879,0.0,0.0,0.0,0.0
1087,0.0,0.0,0.03205488665555231,0.024912754309867363
9144,0.010000000707805,0.010895999944768833,0.046675288269119986,0.0
16734,0.0,0.0,0.0,0.0
21655,0.0,0.0,0.0,0.0
24232,0.0,0.0,0.0,0.02532354166802306
6965,0.0,0.0,0.0,0.0
10669,0.0,0.0,0.0,0.0
2740,0.099999979138374,0.1024309739470478,0.09517694526051382,0.061668485444977356
17968,0.055933311581612,0.058947642333805374,0.03715446320573665,0.034525323791308876
16872,0.090000003576279,0.09370332494378092,0.08280039259155866,0.04847138076120569
20276,0.059999972581863,0.06022730819880937,0.07134437985915701,0.07535183703715606
10836,0.080000005662441,0.08577966608107084,0.08021522561418368,0.06055983196933398
19929,0.0,0.0,0.0,0.050178538225554264
6599,0.0,0.0,0.0,0.0
9197,0.0,0.0,0.026460581950557643,0.054188356262418885
20379,0.0,5.820769994474561e-13,0.0,0.04125243447676594
4140,0.049999989569187,0.05293198667466632,0.06572358085239899,0.05584329744288977
20838,0.033099990338087,0.03540766093879946,0.042071324607177774,0.0
8470,0.059999972581863,0.07302666004747142,0.03567603721223686,0.05699539272989948
4985,0.0,0.0007583333383081389,0.03191799027882425,0.0
5348,0.085400000214577,0.09588398493826394,0.06920609297173969,0.0633268999797795
7958,0.070000022649765,0.07373567268252372,0.0722994132820666,0.06284677393975943
13442,0.059999972581863,0.06517233185470098,0.03466033012528111,0.037507464686663744
11697,0.090000003576279,0.09406798884272571,0.07830771463165462,0.04468924692673157
8673,0.0,0.0,0.0,0.031095957770529842
423,0.090000003576279,0.10122097589075599,0.07036397745514392,0.06162792383495028
11879,0.0,0.0,0.0030797181435250065,0.0
1346,0.059999972581863,0.06407500009983778,0.07832866082610596,0.03406050251491352
15570,0.0,0.0,0.0195159432886107,0.0
5826,0.0,0.0,0.010838358243958873,0.0
10714,0.0,0.0,0.0,0.035233252164606016
21609,0.0,0.0,0.0,0.028699573623756275
13287,0.0,0.0,0.014369167157391782,0.10313617540169337
21713,0.059999972581863,0.05831730978252965,0.05672888311353225,0.03783527555963642
2579,0.0,0.0,0.0,0.0
2463,0.099999979138374,0.10227730795741047,0.0981742102491798,0.11338507070470358
17133,0.090000003576279,0.09338765807449853,0.051787086510487385,0.16643890372878686
22451,0.0,0.0,0.0,0.020217334900852146
23488,0.09239998459816,0.09619631830602879,0.09139562384585528,0.09539106229953878
15551,0.0,0.0,0.004115538505127275,0.028690203119473318
16213,0.0,0.0,0.018619588402978032,0.06929746456347005
7090,0.032966662198305,0.03305865852162237,0.04842847367463601,0.05064991044788922
22857,0.040000002831221,0.039850001633167535,0.03924627464197297,0.0660445583563177
5304,0.070000022649765,0.0716883428767323,0.07363480728685898,0.08223929881952044
18089,0.0,0.0,0.0029863305984891564,0.0
25602,0.0,0.0,0.030447425148054347,0.01857474554630109
