pred,true
[4.2442913],5.7906337
[5.352861],6.372834
[6.5283165],8.008234
[7.9994936],9.4611
[8.114275],7.353833
[6.1610365],5.0207
[6.62131],6.876833
[7.1660995],8.384233
[9.638076],12.730733
[12.887435],13.776499
[13.395156],14.337132
[13.885865],14.732201
[14.036443],14.872132
[14.042169],14.5344
[14.039842],15.975335
[15.052793],16.2058
[15.470663],16.400267
[15.45784],16.494
[15.412906],16.638933
[15.260674],16.995934
[15.23067],17.085001
[15.072406],17.133467
[15.166717],15.625734
[13.948497],7.108333
[9.084401],13.612132
[10.161157],6.3737993
[5.489521],6.7514
[8.1875725],9.740133
[8.402767],7.1047335
[7.352113],10.014799
[7.9653134],10.6268
[8.487821],5.0996003
[4.5173736],7.6156
[6.216194],3.8999333
[4.9236135],5.9863997
[5.456846],5.7568
[5.799352],3.7873998
[5.00745],1.8511336
[3.9539652],1.5559335
[3.6530228],1.1368666
[2.982944],0.8080668
[2.0552552],0.5653333
[1.4230645],0.2715333
[1.6329908],0.031266663
[0.3618856],0.0
[0.1263668],0.0
[0.5028097],0.0
[0.10530013],0.0
[0.13156635],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.16186665
0,0.5850666
0,0.9868001
[1.1154627],2.11
[1.666745],3.2454665
[3.1695702],3.9984
[3.790492],5.4922667
[5.3828516],6.4444666
[6.4220076],7.8973327
[7.529107],8.717799
[9.241764],9.909467
[10.31968],10.899134
[11.392129],11.747533
[11.970183],12.5716
[12.480806],13.298599
[13.035651],13.936533
[13.447432],14.655799
[13.679791],14.6612
[13.588847],15.6162
[14.600556],15.949534
[15.200451],16.094799
[15.559407],16.2114
[15.2548],15.269665
[13.626832],14.480933
[13.040874],8.342667
[9.9238615],8.060733
[11.398651],6.200134
[7.8409286],6.580133
[9.274675],9.240534
[6.3185086],11.264532
[9.39081],11.3376
[8.542339],8.532666
[9.098663],6.742467
[7.027636],12.573533
[10.549949],13.207067
[11.793519],11.245068
[8.806506],12.200001
[9.126103],11.3118
[8.266828],7.1417327
[6.4368796],5.9682665
[6.086179],5.038867
[6.48902],4.8247333
[5.784041],4.4738
[5.0593023],5.1301336
[5.433738],3.4044669
[4.566702],2.2037332
[3.772825],1.6030666
[3.1373641],1.0251999
[1.8743808],0.26106665
[0.88928115],0.047266662
[0.6485877],0.0
[0.36018813],0.0
[0.16701996],0.0
[0.14177191],0.0
[0.14271241],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0072000003
0,0.48826668
0,1.2742001
[0.94399124],3.1864667
[2.0850415],3.0290668
[2.4697945],3.2467332
[2.710218],4.426
[5.002122],6.850572
[4.6130533],3.5556002
[5.4650965],4.0002
[4.7273617],2.0530667
[6.0009413],3.4966664
[5.844927],4.6442003
[6.1815157],10.970867
[7.8730407],8.142533
[7.0684557],4.9313
[9.37403],4.0082664
[7.7340164],9.078899
[9.817687],6.3248997
[7.0562787],7.8581667
[9.060353],5.2791667
[8.053106],8.923834
[8.023887],7.079367
[7.4814363],4.1889668
[9.872422],7.490599
[6.568947],6.7818003
[8.915077],6.9341335
[7.6938267],13.3998
[9.301961],6.658433
[7.738107],6.4632
[9.430123],8.675034
[7.149931],6.7834334
[7.922412],6.3701997
[8.330854],7.0066004
[8.260449],5.2362
[8.079428],3.9919999
[7.0152073],2.6404333
[4.4936876],3.5088665
[4.9693127],3.2806334
[4.338374],3.0774667
[5.8968525],2.8825998
[3.9014938],5.783701
[4.809599],5.145
[4.744526],4.6893
[4.433997],3.4912667
[3.8837867],1.575
[2.4116051],1.2118667
[1.3322225],0.26469997
[0.6947862],0.26906666
[0.542092],0.078133315
[0.24673575],0.0
[0.16110468],0.0
[0.14679986],0.0
[0.15122813],0.0
[0.15233564],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.06563333
0,0.5456
0,1.2641333
[1.3133719],2.2458
[1.843286],3.4185333
[3.8205535],4.6521997
[4.818609],5.8873663
[6.203083],7.1125
[7.3410797],8.2749
[8.499663],9.413367
[9.862201],10.476399
[10.988069],11.504634
[12.032073],12.396434
[12.692365],13.273099
[13.271497],13.2802
[13.358153],14.259001
[14.101739],15.292666
[14.553634],15.008466
[14.402568],16.179365
[13.214862],15.754367
[13.791488],16.851566
[14.997617],12.899766
[12.327439],14.293567
[14.212607],15.432234
[14.751588],17.492167
