pred,true
[16.599833],[16.802698]
[16.554674],[16.885866]
[16.534517],[16.760035]
[16.43595],[16.560566]
[16.277908],[16.418266]
[16.047226],[16.175165]
[15.724528],[15.998667]
[15.348542],[16.325167]
[14.901523],[16.9086]
[14.3586235],[11.378]
[11.529063],[6.3686]
[7.6599574],[4.2265334]
[5.1071053],[7.993667]
[5.4347186],[3.6304667]
[4.111864],[2.7782328]
[2.5293717],[10.3478]
[7.533399],[9.015666]
[6.6514525],[7.0660334]
[6.0435147],[3.4064333]
[3.7773101],[2.0903997]
[2.0299191],[2.0642]
[1.1002381],[3.3497334]
[1.2521105],[2.6370666]
[1.1884873],[1.1693999]
[0.6887722],[0.9304001]
[0.45447138],[0.32420003]
[0.19280264],[0.11293332]
[0.1125271],[0.00573333]
[0.13386941],[0.07513333]
[0.8332026],[0.4552]
[1.576631],[1.0316668]
[2.1711621],[1.5807332]
[2.9548767],[1.3474665]
[3.1250672],[1.7036666]
[3.1569688],[4.3919334]
[5.5340295],[5.962333]
[7.4129953],[6.9222665]
[8.1927],[7.9136667]
[9.089456],[8.785867]
[9.942661],[9.859733]
[10.991559],[10.691999]
[11.713538],[11.6058]
[12.651991],[12.1538]
[13.231152],[12.9470005]
[13.926824],[13.356333]
[14.277676],[13.991667]
[14.892248],[14.595667]
[14.83592],[14.9246]
[15.537201],[15.2242]
[15.706058],[15.582267]
[15.897058],[15.9332]
[16.088444],[16.342333]
[16.12633],[17.090601]
[15.884417],[14.7255335]
[15.04597],[15.985535]
[15.5969095],[16.253666]
[15.731936],[16.1156]
[15.681496],[15.838033]
[15.450463],[15.466099]
[15.148691],[15.0916]
[14.658206],[14.5691]
[14.152014],[14.163001]
[13.654125],[13.5281]
[13.052492],[12.852866]
[12.479132],[12.125533]
[11.678452],[11.484066]
[10.882269],[10.6567335]
[9.863075],[9.754099]
[8.827475],[5.7898664]
[6.1104527],[6.4880667]
[5.2306027],[2.0083666]
[2.998937],[1.1514333]
[1.3480036],[0.35936666]
[0.3780706],[0.14979997]
[0.16601819],[0.08146665]
[0.20893672],[0.06123333]
[0.3541796],[0.03903333]
[0.3698859],[0.01376667]
[0.31545788],[0.16299997]
[1.1708877],[0.63633335]
[1.8160992],[1.4405333]
[2.5071902],[2.8894]
[4.3595114],[1.5626664]
[3.661512],[2.3114665]
[4.038332],[4.2326665]
[5.5523763],[6.4806666]
[7.4546103],[7.528801]
[8.525447],[9.4202]
[10.477488],[10.516334]
[11.484691],[11.484667]
[12.553718],[12.406666]
[13.443887],[13.243333]
[14.339693],[13.9732]
[15.08115],[14.572867]
[15.633779],[15.157267]
[16.051592],[15.702001]
[16.385],[16.189466]
[16.603512],[16.4924]
[16.700584],[16.822601]
[16.78485],[17.062067]
[16.831148],[17.1352]
[16.858694],[17.213867]
[16.819595],[17.198933]
[16.79402],[17.1226]
[16.717455],[17.008032]
[16.603058],[16.793835]
[16.38917],[16.5695]
[16.096708],[16.151535]
[15.73597],[15.7608]
[15.352305],[15.297701]
[14.926984],[14.728733]
[14.44911],[14.237934]
[13.949762],[13.5305]
[13.358299],[12.815101]
[12.6388035],[11.966]
[11.7329235],[11.028767]
[10.602268],[10.156533]
[9.558521],[9.192866]
[8.468157],[7.668733]
[7.153729],[6.9951334]
[6.403265],[5.8039002]
[5.4561586],[4.7147]
[4.3202395],[3.2782001]
[2.9378796],[2.3737333]
[1.8132589],[1.0669]
[0.7421773],[0.41739997]
[0.23604152],[0.20476668]
[0.13695109],[0.06239998]
[0.14692089],[0.0006]
[0.18350753],[-0.00013333]
[0.98857486],[0.04903333]
[1.5084124],[0.4596667]
[1.899393],[0.9198667]
[2.3956993],[1.4125334]
[2.7894142],[2.5100338]
[3.5839236],[3.8835332]
[4.9534445],[3.807833]
[5.3454785],[4.6341667]
[6.0335145],[4.326533]
[5.6541715],[5.2415333]
[6.257405],[5.839033]
[6.5940943],[7.9287]
[8.178383],[7.9515667]
[7.941202],[7.3055997]
[8.142017],[8.235133]
[8.404089],[9.828767]
[9.416504],[11.664533]
[10.963776],[12.007768]
